Number,Name,RA,Dec,Vmag,SpType,Vsini,Nspectra,Comments
332,HD 146596,16 19 42.67,-52 46 19.03,7.98,B5IVe,,115,
333,HD 147196,16 21 19.19,-23 42 28.75,7.05,B6.5Vne,,138,
334,HD 147302,16 24 01.27,-55 27 13.37,7.721,B2IIIne,392,89,
335,chi Oph,16 27 01.43,-18 27 22.49,4.42,B2Vne,144,368,
336,OZ Nor,16 28 49.89,-44 48 45.40,7.42,B2IIe,,59,
337,HD 148567,16 31 02.86,-46 28 45.61,7.76,B2IIne,,60,
338,zet Oph,16 37 09.54,-10 34 01.53,2.578,O9Ve,348,2697,
339,V1063 Sco,16 40 42.46,-41 07 37.09,7.93,B4IIIe,,58,
340,HD 149671,16 41 23.11,-68 17 46.04,5.882,B7IVe,,93,
341,HD 151113,16 47 30.34,-45 27 37.89,7.43,B2Ve,180,58,
342,V846 Ara,16 56 08.84,-50 40 29.25,6.33,B3Vnpe,295,118,
343,HD 152541,16 56 14.50,-46 50 57.89,7.45,B7Ve,,60,
344,V828 Ara,17 01 47.39,-58 57 29.69,6.263,B2IVne,,92,
345,HD 153262,17 01 54.07,-59 02 51.32,7.61,B2Vnne,,61,
346,HD 154218,17 05 42.96,-36 44 25.90,7.57,B3Vne,,61,
347,V956 Sco,17 07 05.16,-35 45 32.38,7.9,Oe,,60,
